MLS Number,Street Address,zip_code,county,age,Sq Ft Total,Lot size,Year Built
ML81848194,713 W Montecito AVE ,95391,San Joaquin,14,2929,5954,2007
CRLC21124778,8486 Paradise Valley BLVD ,95458,Lake,1,2167,11761,2020
BA321060673,980 Orchard DR ,95620,Solano,26,1514,5001,1995
ME221053835,200 Swazey CT ,95747,Placer,26,2287,9365,1995
ME221069434,4015 Sherman WAY ,95817,Sacramento,80,1084,4792,1941
CRCV21128370,1617 E San Marcus ST ,90221,Los Angeles,75,1264,5799,1946
CRSW21126121,31934 Rosewood CT ,92532,Riverside,18,2372,7841,2003
CRCV21128105,26104 Deer Run ST ,92584,Riverside,15,1869,11761,2006
CRSW21136255,25575 Orion CT ,92586,Riverside,34,1496,7405,1987
CROC21124382,1423 W Bay AVE ,92661,Orange,81,1085,2700,1940
CROC21127728,1 Drackert LN ,92694,Orange,16,2751,9790,2005
CRPW21125696,2101 Windbreak CIR ,92821,Orange,45,2526,5115,1976
CRPW21121394,1243 Cranbrook PL ,92833,Orange,45,2001,5500,1976
CROC21142980,11201 Loara ST ,92840,Orange,66,1125,8172,1955
CRV0-219007091,3161 Preble AVE ,93003,Ventura,66,1359,5600,1955
CRPI21124310,122 Rodeo DR ,93420,San Luis Obispo,32,2174,10899,1989
ML81849744,178 San Pedro RD ,94019,San Mateo,56,1630,6900,1965
BE40955555,8 Blakewood Way ,94062,San Mateo,71,1770,12316,1950
ME221067482,720 Outrigger CIR ,94513,Contra Costa,26,1896,11561,1995
CC40955070,2423 Charlotte Ave ,94518,Contra Costa,62,1247,6048,1959
BE40956518,2169 Arlington Way ,94582,Contra Costa,15,2194,3235,2006
BA321047431,236 Devon DR ,94903,Marin,59,2270,8124,1962
ML81848029,2325 Fatjo PL ,95050,Santa Clara,71,1612,5849,1950
ML81848560,1204 Dresden WAY ,95129,Santa Clara,64,1988,5928,1957
ML81848160,3136 Mount Isabel CT ,95148,Santa Clara,42,2104,6886,1979
ME221062918,10889 Bellone WAY ,95670,Sacramento,19,1468,5772,2002
BA321051478,1141 Cloverbrook CIR ,95687,Solano,22,1861,5672,1999
ME221084556,1202 Potomac WAY ,95961,Yuba,0,2438,8872,2021
ME202101069,1539 2nd AVE ,95961,Yuba,0,1333,11326,2021
CNSR21126896,19944 Enadia WAY ,91306,Los Angeles,68,1591,9000,1953
CNSR21124985,11337 Anselm CIR ,92337,San Bernardino,22,1102,4000,1999
CRCV21110079,2633 W Fairview DR ,92377,San Bernardino,27,1897,6600,1994
CRCV21127381,8 Copper Hill ,92620,Orange,44,2453,4840,1977
CROC21126390,35271 Camino Capistrano ,92624,Orange,42,3500,10600,1979
CROC21130227,153 Avenida Barcelona ,92672,Orange,63,1203,5000,1958
CROC21126717,8 Saltillo ,92688,Orange,27,1605,4500,1994
CROC21127071,26651 Brandon ,92692,Orange,30,2108,4675,1991
ML81848252,2800 South CT ,94306,Santa Clara,73,1904,8070,1948
CC40959759,4411 Striped Maple Ct. ,94521,Contra Costa,46,2886,5520,1975
CC40959207,330 Greenway Dr ,94553,Contra Costa,54,1624,6720,1967
CC40954244,54 San Pablo Ct ,94556,Contra Costa,50,3048,18050,1971
ML81848522,1607 Angsley LN ,94582,Contra Costa,18,2826,5220,2003
ML81848740,16553 Mira Bella PL ,95037,Santa Clara,26,2224,7313,1995
ML81848453,109 Dell WAY ,95066,Santa Cruz,45,1616,15899,1976
ME221067823,1625 Bedford AVE ,95351,Stanislaus,71,862,6599,1950
ME221045215,1481 Paymaster CT ,95614,El Dorado,34,1741,85813,1987
ME221074728,128 Witmer DR ,95630,Sacramento,31,1272,6922,1990
ME221064610,4617 Evia CT ,95758,Sacramento,30,2084,7292,1991
ME221032319,3007 Waterman Court ,95762,El Dorado,58,1412,13068,1963
CRSN21124299,24 Kimberlee LN ,95926,Butte,50,1342,6098,1971
ME221081284,366 Mosburg LOOP ,95991,Sutter,15,1968,4792,2006
TM21-751130,1613 Arla WAY ,90041,Los Angeles,0,1711,1207,2021
TM21-751144,1617 Arla WAY ,90041,Los Angeles,0,1711,1207,2021
CRPW21119473,9745 Homestead ST ,90660,Los Angeles,70,1685,5835,1951
CNSR21132007,8001 Longridge AVE ,91605,Los Angeles,65,1036,7958,1956
CRNDP2106379,1820 Centennial WAY ,92026,San Diego,24,3309,6848,1997
CRNDP2106930,1132 Glen Ellen Pl ,92078,San Diego,18,2099,4503,2003
CRIV21128641,200 E Alessandro BLVD 87,92508,Riverside,31,930,3485,1990
CROC21126348,24161 Vista D Oro ,92629,Orange,44,1963,4417,1977
CROC21107624,1932 Lake ST ,92648,Orange,28,2969,5936,1993
CRV0-220007854,8494 Boise ST ,93004,Ventura,57,1577,7140,1964
ML81849339,2180 Carmelita AVE ,94010,San Mateo,54,3710,23337,1967
ML81849557,2893 Illinois ST ,94303,Santa Clara,69,1010,6000,1952
BE40955369,15930 Via Del Sol ,94580,Alameda,77,1000,5000,1944
CC40953935,321 Kingsley Place ,94583,Contra Costa,50,1479,7875,1971
EB40953510,1874 Drake Dr ,94611,Alameda,72,2179,6624,1949
BA321051468,122 Marina BLVD ,94901,Marin,62,2009,12036,1959
BA321050991,99 Sleepy Hollow DR ,94960,Marin,60,3292,14501,1961
CRMC21128966,322 E Childs AVE ,95341,Merced,80,1300,40628,1941
ME221058661,561 Del Rio CIR ,95361,Stanislaus,51,1188,8067,1970
ME221043979,1166 Poppy Hills Court ,95377,San Joaquin,20,2968,9265,2001
ME221065597,8851 Statira CT ,95624,Sacramento,27,2079,5349,1994
ME221068559,10465 Ambassador DR ,95670,Sacramento,59,1648,11761,1962
BA321054476,804 Sapphire CIR ,95687,Solano,29,1147,5811,1992
ME221065476,4201 Rose Creek RD ,95747,Placer,23,1547,6499,1998
ME221067043,3888 Terra Vista WAY ,95821,Sacramento,61,1500,11326,1960
ME221065276,3604 Eagle Crest CIR ,95843,Sacramento,27,1440,5458,1994
CRPW21128751,3842 Charlemagne AVE ,90808,Los Angeles,76,1121,6659,1945
CNSR21107463,13742 Mercer ST ,91331,Los Angeles,74,2342,6534,1947
CRCV21124099,10787 La Vine ST ,91701,San Bernardino,33,1871,8750,1988
CREV21132120,36492 Bay Hill DR ,92223,Riverside,16,3389,6970,2005
CRSB21134167,28626 Shenandoah DR ,92352,San Bernardino,19,2442,10534,2002
CRSW21114214,17890 Cedarwood DR ,92503,Riverside,20,2000,7405,2001
CRPW21114760,29403 Taos CIR ,92563,Riverside,19,2570,8712,2002
CRV0-219013987,104 W Center ST ,93001,Ventura,95,912,4666,1926
CRFR21138655,3516 E Saginaw WAY ,93726,Fresno,64,1433,6510,1957
ML81848204,499 Molino AVE ,94086,Santa Clara,67,1288,5817,1954
BE40953990,18445 Magee Way ,94546,Alameda,69,1638,5100,1952
BE40954332,755 N N St. ,94551,Alameda,68,1060,5000,1953
ME221068256,820 Ibis DR ,94561,Contra Costa,5,2432,6300,2016
ML81850226,7738 Woodren CT ,94568,Alameda,45,1855,6533,1976
EB40953423,914 Everett Avenue ,94602,Alameda,95,1935,5520,1926
ME221065981,1819 W Lodi AVE ,95242,San Joaquin,60,1424,6159,1961
ME221064877,6521 Graybark LN ,95326,Stanislaus,19,1720,6499,2002
ME221067104,5607 Grand View CT ,95765,Placer,30,2171,4042,1991
ME201903126,112 W 19th ST ,95928,Butte,116,1440,6970,1905
ME202101099,1033 Jay ST ,95961,Yuba,64,872,9409,1957
ME201902480,1615 Alma ST ,95965,Butte,57,1384,13504,1964
TM21-743846,2617 Castle Heights PL ,90034,Los Angeles,72,1897,5972,1949
CNSR21119978,19703 Terri DR ,91351,Los Angeles,36,2349,146375,1985
CRPW21124803,2430 Gary CIR ,92010,San Diego,54,1640,10400,1967
CNSR21124727,55318 Tanglewood ,92253,Riverside,21,2400,2614,2000
CRSB21127784,43252 Deer Canyon RD ,92315,San Bernardino,22,1154,7749,1999
CREV21135815,27316 Matterhorn ,92352,San Bernardino,34,1854,13667,1987
CRPW21048239,2288 Gould AVE ,92782,Orange,23,2035,6541,1998
CRPW21123465,1420 E Gamma PL ,92805,Orange,62,2379,11110,1959
CRPW21068803,18902 El Moro WAY ,92861,Orange,57,2608,24699,1964
CNSR21101491,44266 Glenraven RD ,93535,Los Angeles,68,914,6177,1953
CRFR21126116,3262 Purvis AVE ,93619,Fresno,13,2607,8400,2008
ML81848253,1075 Highlands CIR ,94024,Santa Clara,60,1987,10458,1961
ML81848245,241 El Bonito WAY ,94030,San Mateo,81,3196,8050,1940
CC40954857,193 Cross Bridge Dr ,94526,Contra Costa,15,3470,17471,2006
ME221067382,2713 Westchester LN ,95350,Stanislaus,60,2200,9400,1961
ME221048781,4864 Hillbrook DR ,95623,El Dorado,35,1228,7405,1986
BA321051135,474 Eagle LN ,95687,Solano,33,2286,5658,1988
ME221005883,5212 Garlenda Dr ,95762,El Dorado,17,2832,6970,2004
ME202000392,135 Windfall WAY ,95966,Butte,16,1600,629878,2005
CROC21127394,11333 Charlesworth RD ,90670,Los Angeles,71,1778,5309,1950
CRP1-1186,4027 Dover RD ,91011,Los Angeles,80,1711,31884,1941
CRNDP2106756,1690 Countryside DR ,92081,San Diego,33,1913,9757,1988
CREV21127096,625 Esther WAY ,92373,San Bernardino,66,1325,8505,1955
CRCV21131105,4494 N E ST ,92407,San Bernardino,74,1250,8400,1947
CROC21143246,202 Via Sedona ,92673,Orange,21,3111,9303,2000
CNSR21127978,13607 Chesterfield DR ,93021,Ventura,34,2643,7008,1987
ML81851222,738 Ashbury WAY ,93907,Monterey,37,1102,6000,1984
SF421563316,2448 Folsom ST ,94110,San Francisco,152,2802,4896,1869
ML81848971,667 Josina AVE ,94306,Santa Clara,72,1614,7722,1949
ML81850611,4913 Stirrup WAY ,94531,Contra Costa,29,1579,4500,1992
CC40953886,1242 Sunset Loop ,94549,Contra Costa,70,1839,18400,1951
EB40954271,5998 Bellingham Dr ,94552,Alameda,35,1890,8710,1986
CC40957096,4 Kim ,94553,Contra Costa,68,2281,14400,1953
BA321056003,3440 Crestview WAY ,94558,Napa,42,2142,20125,1979
ML81851784,1417 Sierra Creek WAY ,95132,Santa Clara,58,2029,10303,1963
ME221072328,5301 San Juan AVE ,95628,Sacramento,63,1268,14375,1958
ME221065537,439 Grand AVE ,95695,Yolo,122,1416,8999,1899
ME221066105,1489 Black Bear ST ,95747,Placer,15,1688,3158,2006
ME202001088,13152 County 270 RD ,95962,Yuba,43,2016,676051,1978
TM21-750850,4521 N Ayla ,90041,Los Angeles,0,1816,4135,2021
CNSR21133980,16539 Superior ST ,91343,Los Angeles,65,1421,7477,1956
CRCV21128562,320 Virginia RD ,91711,Los Angeles,66,1512,7947,1955
CRCV21113418,172 Bryn Mawr RD ,91711,Los Angeles,69,1344,8291,1952
CRPTP2103156,11064 Collinwood DR ,92071,San Diego,42,1832,6952,1979
CRCV21119897,1476 Peters Canyon ,92223,Riverside,8,2318,5227,2013
CREV21126067,33764 King DR ,92399,San Bernardino,6,1904,3084,2015
CREV21125649,13170 6th PL ,92399,San Bernardino,3,2226,9075,2018
CROC21143447,5636 Oakley TER ,92603,Orange,50,2706,12084,1971
TM21-752762,2100 E Ocean BLVD ,92661,Orange,40,2867,3239,1981
ML81851532,1462 Marin AVE ,93906,Monterey,61,1240,5900,1960
SF421561729,27 Woodland AVE ,94015,San Mateo,62,1180,3996,1959
EB40954033,7027 Central Ave ,94530,Contra Costa,66,1228,3400,1955
BE40955205,6024 Allium Pl ,94560,Alameda,5,1929,3517,2016
CC40955660,37 La Campana Rd ,94563,Contra Costa,66,2325,37400,1955
BA321053483,8 Turtle Rock CT ,94920,Marin,28,5028,27717,1993
ME221064910,9700 Ranchwood CT ,95361,Stanislaus,29,2500,20342,1992
ME221065354,8062 Bayberry CT ,95610,Sacramento,48,1274,6534,1973
ME221070461,6557 Misty Creek DR ,95621,Sacramento,45,1632,6970,1976
ME202100443,1824 Cleo CT ,95993,Sutter,31,1860,10454,1990
CRCV21125109,7817 Eglise AVE ,90660,Los Angeles,70,1024,5650,1951
CRP0-819001390,3720 Cedarbend DR ,91214,Los Angeles,63,1781,8932,1958
TM21-746774,5639 Walnut Ridge DR ,91301,Los Angeles,34,2868,8125,1987
CNSR21131944,22710 Rio Bueno CT ,91354,Los Angeles,46,1625,6781,1975
CNSR21133756,12634 Cumpston ST ,91607,Los Angeles,67,1863,6982,1954
CRAR21122418,1319 W Crumley ST ,91790,Los Angeles,65,1628,7634,1956
CRSW21131735,566 Iona CT ,92027,San Diego,25,1659,5954,1996
CRNDP2107179,1247 Avenida Amistad ,92069,San Diego,20,1652,4792,2001
CRIV21128942,17068 Lakepointe DR ,92503,Riverside,33,2323,9583,1988
CRSW21128549,1077 Peacock DR ,92583,Riverside,23,1257,8276,1998
CROC21118546,5672 Ocean Vista DR ,92648,Orange,23,3816,5100,1998
CRV0-220004205,2141 Pamela ST ,93036,Ventura,55,2202,6715,1966
CRFR21128441,921 Fremont AVE ,93612,Fresno,31,1762,6760,1990
ML81850656,1904 Roosevelt AVE ,94061,San Mateo,98,967,4649,1923
BA321055897,3320 Barmouth ,94509,Contra Costa,39,1628,8398,1982
ML81850364,2554 Huron DR ,94519,Contra Costa,56,1285,6000,1965
EB40954325,1960 Howe Drive ,94578,Alameda,74,1164,5250,1947
EB40954995,6275 Westover Dr ,94611,Alameda,56,1786,7473,1965
ME221065339,9541 Dapple CT ,95624,Sacramento,33,1527,10315,1988
ME221067501,402 Redcliffe CT ,95648,Placer,14,2827,11008,2007
CC40954088,260 Union St ,95678,Placer,28,1648,4399,1993
ME221065703,3527 Cabrito DR ,95762,El Dorado,23,2190,9148,1998
ME221070494,828 Stoneman Way ,95762,El Dorado,52,2322,10890,1969
ME221065648,4941 Timbercreek WAY ,95841,Sacramento,42,1444,6599,1979
ME201903858,777 Gardella AVE ,95965,Butte,114,848,5663,1907
CROC21135768,1044 Joels Place ,90012,Los Angeles,0,2375,2092,2021
TM21-752372,512 Robinwood DR ,90049,Los Angeles,0,3700,7500,2021
CRPV21042676,30745 Tarapaca RD ,90275,Los Angeles,61,1758,22680,1960
TM21-749440,2833 W 164th ST ,90504,Los Angeles,70,1156,5113,1951
CRIG21128758,10551 Lavender CIR ,90670,Los Angeles,9,2020,122459,2012
TM21-762008,4429 Studio PL ,91602,Los Angeles,1,2200,20000,2020
CRNDP2107000,7774 Mount Vernon ST ,91945,San Diego,79,1716,13100,1942
CRNDP2106728,1533 Molly CIR ,92054,San Diego,41,1597,10000,1980
CRNDP2106762,705 Merit ,92078,San Diego,2,2550,6548,2019
CRNDP2106894,13114 Winstanley WAY ,92130,San Diego,22,3708,7840.8,1999
CROC21121810,25121 Shaver Lake CIR ,92630,Orange,44,2546,5408,1977
CRPW21118142,421 Catalpa AVE ,92821,Orange,66,1862,6720,1955
CRPW21118619,3877 Birdie DR ,92886,Orange,7,2530,2000,2014
ML81849415,2730 Santa Lucia AVE ,93923,Monterey,19,2443,6000,2002
CC40954078,1359 Bent Tree Ln ,94521,Contra Costa,47,1709,7000,1974
BE40954925,37182 BLACOW RD ,94536,Alameda,71,990,5429,1950
BA321051244,175 Sunshine ST ,94585,Solano,7,1898,2200,2014
CC40955656,665 Sitka Dr ,94598,Contra Costa,53,1880,9240,1968
ML81848231,335 Condor AVE ,95005,Santa Cruz,73,1512,13809,1948
BE40955449,78 Magellan Ave ,95116,Santa Clara,72,1160,5250,1949
ML81849554,1640 Ixias CT ,95124,Santa Clara,58,1286,6676,1963
BA321057730,1505 S Dora ST ,95482,Mendocino,35,1209,7000,1986
ME221071289,12003 Lakeshore South ,95602,Placer,45,1158,15246,1976
ME221065416,12756 Thornberg WAY ,95742,Sacramento,5,3427,6216,2016
ME221066078,751 Ashwick LOOP ,95823,Sacramento,4,1499,2544,2017
ME221068388,196 Mill Valley CIR ,95835,Sacramento,16,1662,7357,2005
ME202001571,18 Quista DR ,95926,Butte,47,1792,8276,1974
ME202000355,3864 Hildale AVE ,95966,Butte,58,1614,26572,1963
CRPTP2104064,2240 Valley Mill Road ,92020,San Diego,45,2030,9665,1976
CRJT21125572,3624 N Geronimo ,92284,San Bernardino,62,1120,217800,1959
CRIV21053049,17108 Red Ash CT ,92337,San Bernardino,16,1807,5561,2005
CREV21126813,1463 VALENCIA AVE ,92404,San Bernardino,71,1500,6710,1950
CRIG21116943,16280 Twilight CIR ,92503,Riverside,23,1214,4356,1998
CROC21120143,24062 Gemwood DR ,92630,Orange,57,1144,9425,1964
CRTR21124515,20465 Chianti CT ,92886,Orange,6,3717,6982,2015
CRSC21122810,382 Chaparral LN ,93420,San Luis Obispo,32,1643,6864,1989
ML81849388,1619 Brewster AVE ,94062,San Mateo,83,1580,6500,1938
SF421567049,1650 Moraga ST ,94122,San Francisco,84,1640,2063,1937
CC40953557,395 Cheshire Dr ,94513,Contra Costa,27,1414,5900,1994
ML81849149,1129 Willow Glen WAY ,95125,Santa Clara,82,1505,5021,1939
ML81848229,26 Atlas AVE ,95126,Santa Clara,85,1380,3775,1936
ML81849292,4812 Rue Calais ,95136,Santa Clara,52,2100,6539,1969
ME221067016,518 Clydesdale CT ,95361,Stanislaus,8,2170,6408,2013
ME221067749,1052 Danielle DR ,95747,Placer,23,2152,7144,1998
ME221063912,976 Merrill CT ,95762,El Dorado,1,2531,12632,2020
CRSB21063366,587 26th ST ,90266,Los Angeles,21,3473,4993,2000
CRDW21107398,11943 Groveland AVE ,90604,Los Angeles,61,1678,6701,1960
CRPW21124434,10011 Saint Vincent CIR ,90630,Orange,60,1205,6028,1961
CNSR21125337,3765 Coldstream ,91356,Los Angeles,46,3404,19201,1975
CRSW21124462,2760 Colorado River RD ,92225,Riverside,16,2002,19602,2005
CROC21128669,7694 Lobos AVE ,92345,San Bernardino,0,2170,18720,2021
CRSW21134999,40502 Corrigan PL ,92591,Riverside,16,2674,6534,2005
CRSW21119862,25030 Cinnabar CT ,92595,Riverside,16,3576,11326,2005
CROC21142659,28255 Camino Del Rio ,92675,Orange,8,1858,4000,2013
CROC21123129,24662 Via Alvorado ,92692,Orange,47,2175,6000,1974
CRV0-219002428,1107 Ashbury CT ,93010,Ventura,45,2381,7910,1976
CRSC21094376,1243 Vista Del Lago ,93405,San Luis Obispo,40,1746,2537,1981
SF421561422,2115 Bush ST ,94115,San Francisco,121,3500,4260,1900
SF421561561,1355 20th AVE ,94122,San Francisco,104,1829,2996,1917
BE40953657,6332 Owl Way ,94551,Alameda,23,2303,7590,1998
BE40956032,2216 Sunset View Ct ,94568,Alameda,4,1995,3665,2017
EB40954765,354 Napa Ave ,94572,Contra Costa,80,884,3720,1941
CC40957388,649 Sitka Dr ,94598,Contra Costa,53,1990,9600,1968
EB40953959,3061 Frye St ,94602,Alameda,99,1310,3367,1922
BA321055416,308 Eastwood DR ,94954,Sonoma,51,2647,8002,1970
ML81849314,102 Caspian WAY ,95020,Santa Clara,6,2440,2811,2015
BA321050817,2397 Amethyst WAY ,95404,Sonoma,20,1277,4596,2001
CRMD21134298,18109 California CT ,95476,Sonoma,33,1890,4084,1988
ME221064689,1730 La Guardia CIR ,95648,Placer,14,1765,6517,2007
ME221070220,3393 Patterson WAY ,95762,El Dorado,43,2881,11326,1978
ME221065771,1811 Ferran AVE ,95832,Sacramento,61,1015,6970,1960
ME221073531,4716 Ravenstone WAY ,95842,Sacramento,54,1269,7405,1967
ME201903468,1059 Nevada AVE ,95965,Butte,76,3572,9583,1945
ME201900289,1629 Hammon AVE ,95966,Butte,51,3430,6970,1970
ME202003567,2882 Shasta View DR ,96002,Shasta,58,1439,10019,1963
TM21-752136,3154 Cadet CT ,90068,Los Angeles,81,1367,4404,1940
CRIV21126814,11042 Haskell AVE ,91344,Los Angeles,66,1308,7289,1955
CRCV21132275,756 Sandy Hook AVE ,91744,Los Angeles,66,1269,6111,1955
CRSW21127004,40832 Calle Santa Cruz ,92203,Riverside,17,1463,5227,2004
CROC21103393,14854 Willow ST ,92345,San Bernardino,49,1160,20000,1972
CROC21131717,33116 Regatta CT ,92675,Orange,42,1494,1520,1979
CROC21123745,25821 Serenata DR ,92691,Orange,53,1975,11371,1968
